sample	name	length	piggyBac	lentiVirus	ptype	repeatTotal	repeatCount	repeatLargest	unrepeatProp
42	PB_TCF_GFPF_C1	8500	True	False	PIGGY	1153	29	231	0.8643529411764705
54	PB_TCF_GFPF	7735	True	False	PIGGY	499	9	231	0.9354880413703943
66	PB_GFP_M1_C1	8108	False	False	NONE	911	22	231	0.8876418352244697
78	PB_GFP_M1	7350	False	False	NONE	257	2	231	0.9650340136054422
91	pY026_Blast	10145	False	False	NONE	136	4	72	0.9865943814687038
7	PB_CMV_GFP	7933	True	False	PIGGY	257	2	231	0.9676036808269255
19	PB_GFP	7591	False	False	NONE	257	2	231	0.9661441180345146
31	PB_TCF_GFP	7954	False	False	NONE	499	9	231	0.937264269549912
43	PB_U6G_EF1_D7TG	8352	True	False	PIGGY	869	17	330	0.8959530651340997
55	PB_CMV_D7TG	7571	True	False	PIGGY	398	9	231	0.9474309866596222
67	lenti_CMV_D7TG	8847	False	True	LENTI	478	10	183	0.9459703854413926
79	pY026	9770	False	False	NONE	136	4	72	0.9860798362333675
92	MD	5822	False	False	NONE	21	1	21	0.9963929920989351
8	Lg	8890	False	False	NONE	21	1	21	0.9976377952755906
20	RSV	4180	False	False	NONE	0	0	0	1.0
32	McK_4_4_1	8071	True	False	PIGGY	2717	22	257	0.6633626564242349
44	McK_4_4_3	8125	True	False	PIGGY	2831	26	257	0.6515692307692308
56	McK_4_4_4	8180	True	False	PIGGY	2938	25	257	0.6408312958435208
68	dInt_3	8890	False	False	NONE	21	1	21	0.9976377952755906
80	McK_4_4_1_rep	7888	True	False	PIGGY	2613	18	257	0.668737322515213
93	Add_114081_1	9904	False	False	NONE	42	2	21	0.9957592891760905
9	Add_114081_2	9904	False	False	NONE	42	2	21	0.9957592891760905
21	Add_114084_1	9910	False	False	NONE	42	2	21	0.9957618567103935
33	Add_114084_2	9910	False	False	NONE	42	2	21	0.9957618567103935
45	pX330_EGFR1_1	10543	False	False	NONE	179	3	132	0.9830219102722185
57	pX330_EGFR1_3	10543	False	False	NONE	179	3	132	0.9830219102722185
69	pX330_EGFR2_1	10543	False	False	NONE	179	3	132	0.9830219102722185
81	pX330_EGFR2_4	10543	False	False	NONE	179	3	132	0.9830219102722185
94	pX330_EGFR3	10543	False	False	NONE	179	3	132	0.9830219102722185
10	pX330_EGFR4_4	10543	False	False	NONE	179	3	132	0.9830219102722185
22	pX330_EGFR4_5	10543	False	False	NONE	179	3	132	0.9830219102722185
34	pX330_GAPDHg	10543	False	False	NONE	179	3	132	0.9830219102722185
46	pX330_VIN1g	10543	False	False	NONE	179	3	132	0.9830219102722185
58	pX330_Vin2g	10543	False	False	NONE	179	3	132	0.9830219102722185
70	pX330_TUBA1Bg	10543	False	False	NONE	179	3	132	0.9830219102722185
82	v8_3	10622	True	False	PIGGY	1594	17	231	0.8499340990397288
95	IntCas_xTen	13143	False	False	NONE	21	1	21	0.9984021912805295
11	pCAG_GFP	5562	False	False	NONE	42	2	21	0.9924487594390508
23	McK_4_4_3_rep	8017	True	False	PIGGY	2717	22	257	0.6610951727578895
35	McK_4_4_4_rep	8017	True	False	PIGGY	2717	22	257	0.6610951727578895
47	FUCCI	12352	False	True	LENTI	450	10	189	0.9635686528497409
59	dInt_2	8890	False	False	NONE	21	1	21	0.9976377952755906
71	McK_5429	8890	False	False	NONE	21	1	21	0.9976377952755906
83	ABE	10488	False	False	NONE	179	3	132	0.9829328756674295
96	pUC19	2686	False	False	NONE	0	0	0	1.0
12	pGGA_GAPDH_HA1	2433	False	False	NONE	184	9	22	0.9243732018084669
24	pGGA_Campa1_5_C1	2435	False	False	NONE	184	9	22	0.924435318275154
36	pGGA_Cassette1_col1	2954	False	False	NONE	654	20	39	0.7786052809749492
48	McK_4_4_2_rep	8017	True	False	PIGGY	2717	22	257	0.6610951727578895
60	PB_MerCreMer	9697	False	False	NONE	986	3	773	0.8983190677529133
72	PB_BSD_STOP_Cas12a	11854	True	False	PIGGY	1009	14	470	0.9148810528091783
84	PB_3xSTOP	8613	True	False	PIGGY	1723	15	714	0.7999535585742482
97	pCMV_dCpf1_eBE	9133	False	False	NONE	427	9	249	0.953246468849228
