position	sample	reference	sangers
68	pRS_Cs_ref_68	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pRS_Cs_ref.fasta	
69	pRS_Cs_ref_69	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pRS_Cs_ref.fasta	
70	pRS_Cs_ref_70	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pRS_Cs_ref.fasta	
71	pX330_G1_ref_71	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX330_G1_ref.fasta	
72	pX330_G2_ref_72	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX330_G2_ref.fasta	
73	pX330_G3_ref_73	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX330_G3_ref.fasta	
74	pX330_G4_ref_74	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX330_G4_ref.fasta	
75	pX330_G5_ref_75	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX330_G5_ref.fasta	
76	pEW_ref_76	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pEW_ref.fasta	
77	pEW_ref_77	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pEW_ref.fasta	
78	pEW_ref_78	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pEW_ref.fasta	
79	pEW_ref_79	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pEW_ref.fasta	
80	pEW_ref_80	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pEW_ref.fasta	
81	pX459_ref_81	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX459_ref.fasta	
82	pX458_ref_82	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pX458_ref.fa	
83	pCDH_mCherry_ref_83	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCDH_mCherry_ref.fasta	
84	pCMV_dCpf1_BE_ref_84	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCMV_dCpf1_BE_ref.fasta	
86	pCI_152_ref_86	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCI_152_ref.fasta	
87	pCAG_BsCas12a_ref_87	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCAG_BsCas12a_ref.fasta	
88	pGL3_RARE_ref_88	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pGL3_RARE_ref.fasta	
89	PB_TCF_SIT_Campa5_BC1_A1_ref_89	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_TCF_SIT_Campa5_BC1_A1_ref.fasta	
90	pLJM1_EGFP_ref_90	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pLJM1_EGFP_ref.fasta	
91	pLJM1_EGFP_antiGFP_ref_91	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pLJM1_EGFP_antiGFP_ref.fasta	
92	pCW_Cas9_ref_92	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCW_Cas9_ref.fasta	
93	pCW_2xEnCas12a_ref_93	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCW_2xEnCas12a_ref.fasta	
94	pCW_6xOpCas12a_ref_94	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pCW_6xOpCas12a_ref.fasta	
95	pL_U6Empty_ref_95	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pL_U6Empty_ref.fasta	
96	pL_U6D7G_ref_96	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pL_U6D7G_ref.fasta	
97	pL_U6D7TG_ref_97	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pL_U6D7TG_ref.fasta	
